epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,238.631,0.86444,1.02863,1.01784,0.80597,0.82871,0.85871,0.64565,0.86498,1.13634,1.04058,0.000702021,0.000702021,0.000702021
71,241.368,0.88903,1.07387,1.01404,0.83468,0.80587,0.85907,0.62319,0.84125,1.16781,1.01646,0.000699021,0.000699021,0.000699021
72,243.946,0.86021,1.03241,0.98417,0.89913,0.74434,0.88227,0.67674,0.82344,1.11557,1.01138,0.000696021,0.000696021,0.000696021
73,246.45,0.8483,1.03254,1.01208,0.91765,0.75476,0.88307,0.66689,0.84197,1.10459,1.02724,0.000693022,0.000693022,0.000693022
74,249.108,0.87377,1.05093,1.04042,0.74584,0.83223,0.8721,0.6205,0.92825,1.18014,1.07377,0.000690022,0.000690022,0.000690022
75,253.129,0.80098,0.93315,0.98236,0.72271,0.85861,0.87854,0.66371,0.85396,1.21398,1.03408,0.000687022,0.000687022,0.000687022
76,255.577,0.80278,0.96638,0.98053,0.7531,0.89807,0.89231,0.67654,0.83806,1.14969,1.02619,0.000684022,0.000684022,0.000684022
77,258.226,0.84718,1.28627,1.0301,0.81079,0.86114,0.90296,0.68035,0.83858,1.14293,1.03209,0.000681023,0.000681023,0.000681023
78,260.815,0.77131,0.9048,0.97389,0.83445,0.79273,0.90198,0.65576,0.86689,1.14242,1.05131,0.000678023,0.000678023,0.000678023
79,263.726,0.82018,1.00628,0.99199,0.82601,0.82972,0.91367,0.63475,0.86167,1.07348,1.02752,0.000675023,0.000675023,0.000675023
80,267.362,0.77326,0.95707,0.96896,0.8869,0.79464,0.90009,0.66566,0.85059,1.06291,1.0145,0.000672024,0.000672024,0.000672024
81,269.986,0.74464,0.92195,0.97536,0.77147,0.8418,0.8829,0.6651,0.85339,1.08449,1.01343,0.000669024,0.000669024,0.000669024
82,272.54,0.83147,0.99151,1.0006,0.86307,0.77305,0.88594,0.64723,0.88403,1.1032,1.03582,0.000666024,0.000666024,0.000666024
83,274.968,0.77131,0.90453,1.00199,0.87853,0.81116,0.90406,0.67573,0.83708,1.02011,1.02146,0.000663025,0.000663025,0.000663025
84,278.416,0.74215,0.87799,0.97995,0.83914,0.86912,0.89414,0.65691,0.83554,1.08193,1.0211,0.000660025,0.000660025,0.000660025
85,281.376,0.77505,0.97456,1.00188,0.78269,0.8432,0.87078,0.63262,0.86003,1.12275,1.02574,0.000657025,0.000657025,0.000657025
86,283.924,0.77156,0.91871,0.98994,0.83434,0.75863,0.85978,0.63961,0.84963,1.12538,1.03499,0.000654025,0.000654025,0.000654025
87,286.462,0.82376,0.94118,1.02944,0.84053,0.79528,0.86174,0.61703,0.89287,1.21205,1.04662,0.000651026,0.000651026,0.000651026
88,288.829,0.79394,0.91783,0.99484,0.80943,0.81905,0.85918,0.6321,0.92572,1.18209,1.03728,0.000648026,0.000648026,0.000648026
89,292.459,0.778,0.9902,1.0048,0.77072,0.85635,0.86457,0.64247,0.87745,1.11286,1.02179,0.000645026,0.000645026,0.000645026
90,295.315,0.84749,0.99008,1.03881,0.82321,0.79368,0.85434,0.65342,0.84163,1.09358,1.01395,0.000642027,0.000642027,0.000642027
91,297.982,0.80353,0.89075,0.97416,0.90097,0.80348,0.86527,0.64369,0.87153,1.07742,1.02626,0.000639027,0.000639027,0.000639027
92,300.843,0.77306,0.85948,0.9894,0.87992,0.77098,0.85198,0.64555,0.88232,1.10325,1.02922,0.000636027,0.000636027,0.000636027
93,303.343,0.77885,0.86837,0.98325,0.79224,0.81628,0.8481,0.62897,0.88223,1.14588,1.03648,0.000633028,0.000633028,0.000633028
94,307.226,0.8001,0.85613,0.9891,0.80278,0.75441,0.80538,0.60465,0.90491,1.19301,1.06959,0.000630028,0.000630028,0.000630028
95,309.614,0.79771,0.89947,0.99664,0.76573,0.85247,0.80499,0.61435,0.85891,1.23581,1.01479,0.000627028,0.000627028,0.000627028
96,312.274,0.85444,0.97104,1.03583,0.78977,0.86937,0.84261,0.65078,0.83554,1.23099,0.99886,0.000624028,0.000624028,0.000624028
97,314.639,0.76778,0.85932,0.96196,0.81333,0.86883,0.84531,0.64811,0.83184,1.22457,1.00344,0.000621029,0.000621029,0.000621029
98,317.928,0.80052,0.88733,0.97717,0.82666,0.83597,0.84255,0.62693,0.87243,1.20376,1.02819,0.000618029,0.000618029,0.000618029
99,321.391,0.75738,0.83101,0.97068,0.82149,0.84925,0.86736,0.65066,0.8328,1.12343,1.02469,0.000615029,0.000615029,0.000615029
100,323.789,0.753,0.85388,0.96989,0.82339,0.82133,0.86606,0.64092,0.91482,1.11716,1.06183,0.00061203,0.00061203,0.00061203
101,326.42,0.7675,0.82758,0.97214,0.80493,0.85241,0.86238,0.65986,0.8766,1.08798,1.04618,0.00060903,0.00060903,0.00060903
102,329.053,0.75234,0.81807,0.97367,0.7623,0.89645,0.85733,0.64978,0.86085,1.0684,1.03314,0.00060603,0.00060603,0.00060603
103,332.271,0.75239,0.81562,0.96638,0.75478,0.85896,0.84647,0.6572,0.88217,1.03863,1.02165,0.000603031,0.000603031,0.000603031
104,335.281,0.80924,0.91521,1.00282,0.79873,0.86558,0.85396,0.66046,0.83768,1.03788,1.00748,0.000600031,0.000600031,0.000600031
105,337.784,0.81738,0.86276,0.99823,0.84006,0.83581,0.88278,0.67188,0.85252,1.0459,1.01511,0.000597031,0.000597031,0.000597031
106,340.503,0.7714,0.83036,0.97429,0.84411,0.884,0.87979,0.68635,0.83206,1.02263,1.01855,0.000594031,0.000594031,0.000594031
107,343.197,0.75572,0.83729,0.97907,0.84488,0.85188,0.86564,0.67671,0.80619,0.98153,1.00676,0.000591032,0.000591032,0.000591032
108,347.005,0.7532,0.8681,1.00344,0.81437,0.80793,0.88043,0.66228,0.83471,1.03323,1.03954,0.000588032,0.000588032,0.000588032
109,349.543,0.7059,0.76892,0.95918,0.75643,0.8858,0.87781,0.67139,0.82681,1.00426,1.03855,0.000585032,0.000585032,0.000585032
110,352.049,0.73319,0.80563,0.96275,0.84517,0.81788,0.87357,0.66666,0.84959,1.00326,1.0523,0.000582033,0.000582033,0.000582033
111,354.679,0.73741,0.80022,0.99427,0.77335,0.85727,0.83311,0.64036,0.85981,1.07587,1.04261,0.000579033,0.000579033,0.000579033
112,357.37,0.73674,0.81096,0.95426,0.80048,0.86066,0.83767,0.64873,0.82006,1.10253,1.02174,0.000576033,0.000576033,0.000576033
113,361.325,0.71947,0.77317,0.96317,0.81774,0.84375,0.85879,0.66121,0.80166,1.06481,1.0212,0.000573034,0.000573034,0.000573034
