epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,556.505,0.59281,0.44278,0.92567,0.83534,0.8556,0.8816,0.66473,0.94708,0.75416,1.28023,0.000429048,0.000429048,0.000429048
162,559.74,0.54298,0.42421,0.89092,0.88775,0.8336,0.88897,0.65484,0.98647,0.77002,1.32811,0.000426048,0.000426048,0.000426048
163,563.538,0.57927,0.46673,0.92039,0.8258,0.82801,0.87867,0.67748,0.921,0.75192,1.2954,0.000423049,0.000423049,0.000423049
164,566.598,0.55581,0.43957,0.93807,0.77814,0.88683,0.87398,0.68053,0.95853,0.68814,1.36372,0.000420049,0.000420049,0.000420049
165,569.422,0.56367,0.43707,0.91044,0.85925,0.84021,0.877,0.67932,0.93585,0.67352,1.35422,0.000417049,0.000417049,0.000417049
166,572.312,0.55373,0.4429,0.91306,0.87157,0.8165,0.87751,0.66999,0.92497,0.65321,1.34046,0.000414049,0.000414049,0.000414049
167,576.319,0.5178,0.41005,0.89947,0.80658,0.8431,0.86732,0.67498,0.90204,0.62432,1.31176,0.00041105,0.00041105,0.00041105
168,579.356,0.58067,0.44394,0.96029,0.85632,0.8509,0.87102,0.6773,0.9103,0.6335,1.2751,0.00040805,0.00040805,0.00040805
169,582.141,0.54005,0.42931,0.93214,0.8644,0.87979,0.8923,0.69267,0.90898,0.63368,1.26311,0.00040505,0.00040505,0.00040505
170,585.01,0.52657,0.40889,0.92678,0.87145,0.88967,0.89624,0.6988,0.92755,0.61482,1.25946,0.000402051,0.000402051,0.000402051
171,588.576,0.51605,0.41703,0.91369,0.87952,0.8712,0.89937,0.69326,0.91618,0.63995,1.25875,0.000399051,0.000399051,0.000399051
172,591.961,0.55899,0.44227,0.93479,0.86553,0.90611,0.90416,0.6871,0.9071,0.65166,1.24966,0.000396051,0.000396051,0.000396051
173,594.801,0.55637,0.41926,0.91438,0.87695,0.87647,0.90565,0.69263,0.90141,0.64444,1.2415,0.000393052,0.000393052,0.000393052
174,597.681,0.5441,0.42136,0.91964,0.87806,0.8883,0.92021,0.69692,0.88111,0.61873,1.22352,0.000390052,0.000390052,0.000390052
175,600.732,0.53611,0.42143,0.90033,0.8954,0.88709,0.92844,0.68693,0.89226,0.61712,1.22339,0.000387052,0.000387052,0.000387052
176,604.766,0.56678,0.45341,0.91722,0.8919,0.85133,0.92825,0.70912,0.87447,0.62299,1.21214,0.000384052,0.000384052,0.000384052
177,607.575,0.59926,0.4577,0.94746,0.9071,0.85657,0.93062,0.70989,0.88762,0.63675,1.21279,0.000381053,0.000381053,0.000381053
178,610.476,0.5409,0.41097,0.92491,0.91506,0.85745,0.9287,0.70945,0.88161,0.63514,1.20745,0.000378053,0.000378053,0.000378053
179,613.366,0.54625,0.43235,0.94522,0.90471,0.872,0.93363,0.70608,0.85377,0.67362,1.20994,0.000375053,0.000375053,0.000375053
180,617.527,0.55031,0.42229,0.9199,0.8795,0.88891,0.93904,0.71303,0.85735,0.63725,1.20807,0.000372054,0.000372054,0.000372054
181,620.429,0.55086,0.40367,0.96107,0.83585,0.92604,0.93199,0.70375,0.86014,0.61714,1.21043,0.000369054,0.000369054,0.000369054
182,623.314,0.56491,0.42387,0.92023,0.84062,0.93144,0.93787,0.70417,0.87194,0.62009,1.2179,0.000366054,0.000366054,0.000366054
183,626.136,0.58269,0.4397,0.94546,0.82379,0.94149,0.9431,0.70088,0.84977,0.62924,1.21805,0.000363055,0.000363055,0.000363055
184,629.702,0.55177,0.42985,0.95212,0.832,0.91832,0.92583,0.71759,0.82778,0.62556,1.18703,0.000360055,0.000360055,0.000360055
