epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,175.959,0.84952,1.1103,1.02308,0.71481,0.65791,0.72289,0.5709,0.90289,1.65505,0.98056,0.000732018,0.000732018,0.000732018
61,178.164,0.87707,1.14502,1.03444,0.66456,0.64092,0.68142,0.53186,0.90638,1.72207,0.99602,0.000729018,0.000729018,0.000729018
62,180.374,0.85124,1.02661,1.00292,0.60567,0.72332,0.66557,0.50571,0.94362,1.71054,1.00597,0.000726018,0.000726018,0.000726018
63,183.221,0.90503,1.12188,1.0521,0.66853,0.76525,0.73196,0.54023,0.98876,1.5663,1.00321,0.000723019,0.000723019,0.000723019
64,186.111,0.83317,1.00331,1.02202,0.58437,0.79831,0.73025,0.56464,0.97807,1.57884,1.0054,0.000720019,0.000720019,0.000720019
65,188.175,0.84254,1.04152,1.03289,0.63231,0.74513,0.73029,0.54745,0.96844,1.5815,0.9997,0.000717019,0.000717019,0.000717019
66,190.159,0.85798,1.04658,1.02712,0.73861,0.6749,0.72169,0.56683,0.88823,1.54494,0.95586,0.000714019,0.000714019,0.000714019
67,192.231,0.81958,0.98574,0.99234,0.59775,0.81829,0.79891,0.63337,0.93273,1.49904,0.98923,0.00071102,0.00071102,0.00071102
68,194.251,0.84115,0.98516,1.00251,0.70191,0.71686,0.78759,0.62398,0.91819,1.49835,0.99802,0.00070802,0.00070802,0.00070802
69,197.286,0.79281,0.98918,0.9846,0.66872,0.71357,0.76517,0.60804,0.92027,1.55131,0.99981,0.00070502,0.00070502,0.00070502
70,199.745,0.85568,1.00467,1.02868,0.70765,0.70388,0.77243,0.5907,0.92962,1.5376,0.99471,0.000702021,0.000702021,0.000702021
71,201.653,0.83337,1.01904,1.03148,0.60499,0.7122,0.76494,0.60601,0.91951,1.57594,1.00614,0.000699021,0.000699021,0.000699021
72,203.718,0.82122,0.98581,0.98893,0.61065,0.7568,0.67964,0.50882,1.003,1.60045,1.0571,0.000696021,0.000696021,0.000696021
73,205.724,0.79805,0.94874,1.00059,0.67763,0.71966,0.6885,0.52988,1.00924,1.58896,1.06833,0.000693022,0.000693022,0.000693022
74,207.952,0.79013,0.92037,0.98974,0.68025,0.75708,0.69421,0.53799,0.95913,1.61874,1.01252,0.000690022,0.000690022,0.000690022
75,210.979,0.83819,0.95968,1.01449,0.77233,0.66849,0.76809,0.60588,0.95166,1.55214,1.01038,0.000687022,0.000687022,0.000687022
76,213.264,0.78201,0.90042,0.99765,0.73799,0.63406,0.72849,0.57828,0.91398,1.52386,1.01125,0.000684022,0.000684022,0.000684022
77,215.309,0.80402,0.93192,1.00225,0.74428,0.68455,0.73003,0.58515,0.91543,1.57257,0.99821,0.000681023,0.000681023,0.000681023
78,217.499,0.77617,0.95308,0.99968,0.61909,0.71604,0.74319,0.57899,0.93185,1.56588,1.00571,0.000678023,0.000678023,0.000678023
79,219.648,0.83288,0.98849,0.9981,0.63578,0.80208,0.77722,0.61915,0.93806,1.52114,1.02269,0.000675023,0.000675023,0.000675023
80,221.857,0.79235,0.94263,0.98767,0.63798,0.80191,0.76475,0.57544,0.98942,1.50856,1.04702,0.000672024,0.000672024,0.000672024
81,225.053,0.75422,0.90153,1.00521,0.657,0.80144,0.76432,0.57551,1.01526,1.53793,1.07547,0.000669024,0.000669024,0.000669024
82,227.294,0.8042,0.92788,1.00405,0.70138,0.7434,0.69998,0.52962,1.00479,1.52913,1.04301,0.000666024,0.000666024,0.000666024
83,229.36,0.77241,0.87453,0.98788,0.69913,0.70301,0.70802,0.53586,0.97296,1.52957,1.04311,0.000663025,0.000663025,0.000663025
84,231.375,0.80428,0.90423,1.01276,0.63871,0.78511,0.79481,0.59012,0.99882,1.44297,1.0539,0.000660025,0.000660025,0.000660025
85,233.434,0.77056,0.88118,0.98974,0.68353,0.72032,0.79716,0.60649,1.02476,1.47214,1.06431,0.000657025,0.000657025,0.000657025
86,235.613,0.77095,0.91293,0.99737,0.64652,0.76957,0.79347,0.61724,0.91995,1.4959,1.01071,0.000654025,0.000654025,0.000654025
87,239.085,0.7719,1.67511,0.98428,0.67812,0.71061,0.71387,0.54201,0.94924,1.47943,1.01586,0.000651026,0.000651026,0.000651026
88,241.052,0.76299,0.87169,1.00171,0.64426,0.74431,0.71277,0.55038,0.93915,1.45044,1.00834,0.000648026,0.000648026,0.000648026
89,243.294,0.75546,0.84169,0.99514,0.62111,0.7415,0.70396,0.53783,0.92454,1.48398,1.00453,0.000645026,0.000645026,0.000645026
90,245.367,0.75987,0.82553,0.98329,0.74015,0.72341,0.73093,0.55014,0.91408,1.42292,0.99975,0.000642027,0.000642027,0.000642027
91,247.503,0.79371,0.8549,1.00044,0.76566,0.71714,0.81199,0.61326,0.91131,1.41905,0.98618,0.000639027,0.000639027,0.000639027
92,250.567,0.76331,0.81507,0.97252,0.68457,0.7333,0.73026,0.55728,0.8853,1.44834,0.97187,0.000636027,0.000636027,0.000636027
93,253.471,0.8081,0.85963,0.9936,0.70092,0.75352,0.72711,0.55541,0.90076,1.45466,0.97789,0.000633028,0.000633028,0.000633028
94,255.449,0.75349,0.81172,0.98456,0.79278,0.68671,0.74045,0.57415,0.89971,1.40484,0.98243,0.000630028,0.000630028,0.000630028
95,257.568,0.77636,0.8723,0.97885,0.66665,0.81801,0.7499,0.57773,0.88102,1.39755,0.97483,0.000627028,0.000627028,0.000627028
96,259.705,0.78872,0.97343,1.02554,0.72175,0.70008,0.71516,0.54557,0.89991,1.41751,0.98212,0.000624028,0.000624028,0.000624028
97,261.681,0.81049,0.92485,1.01423,0.58914,0.76601,0.70923,0.54498,0.89502,1.45769,0.98872,0.000621029,0.000621029,0.000621029
98,264.476,0.82125,0.89844,0.99643,0.6388,0.78749,0.7286,0.55203,0.95592,1.42394,1.0162,0.000618029,0.000618029,0.000618029
99,267.256,0.76327,0.85302,0.97649,0.62759,0.8295,0.74732,0.58287,0.88381,1.37722,0.97568,0.000615029,0.000615029,0.000615029
100,269.279,0.73944,0.83283,0.9761,0.67117,0.75524,0.78494,0.61196,0.93814,1.47857,1.00052,0.00061203,0.00061203,0.00061203
101,271.35,0.75154,0.84166,0.97497,0.67787,0.72142,0.76645,0.5787,0.96117,1.52406,1.02037,0.00060903,0.00060903,0.00060903
102,273.379,0.75352,0.85121,0.99449,0.59462,0.78526,0.74389,0.57779,0.92976,1.56681,1.01515,0.00060603,0.00060603,0.00060603
103,275.353,0.77307,0.82934,0.98463,0.63886,0.69136,0.73675,0.59396,0.9384,1.5345,1.0215,0.000603031,0.000603031,0.000603031
104,278.263,0.80567,0.8547,0.99474,0.67362,0.76334,0.74864,0.58069,0.91023,1.44999,1.0113,0.000600031,0.000600031,0.000600031
105,280.913,0.77765,0.83716,0.99409,0.61907,0.77017,0.74488,0.59072,0.87671,1.40309,0.99458,0.000597031,0.000597031,0.000597031
106,282.881,0.76561,0.79255,0.98338,0.71354,0.69505,0.69308,0.52681,0.8787,1.32856,0.98577,0.000594031,0.000594031,0.000594031
107,285.038,0.73227,0.79475,0.96184,0.72203,0.71106,0.69714,0.55008,0.8711,1.38115,1.01077,0.000591032,0.000591032,0.000591032
108,287.201,0.71128,0.79703,0.9727,0.67694,0.70519,0.76649,0.61546,0.87776,1.42115,0.99355,0.000588032,0.000588032,0.000588032
109,289.25,0.72699,0.75366,0.95179,0.67985,0.70683,0.76155,0.62692,0.8667,1.44929,0.98445,0.000585032,0.000585032,0.000585032
110,292.101,0.71805,0.75951,0.9437,0.77555,0.67558,0.77835,0.61321,0.91758,1.44399,1.02395,0.000582033,0.000582033,0.000582033
111,294.688,0.70555,0.75259,0.95926,0.75424,0.70352,0.76692,0.6134,0.85462,1.42131,0.99246,0.000579033,0.000579033,0.000579033
112,296.724,0.77472,0.81474,0.9651,0.6926,0.759,0.76064,0.6091,0.89341,1.46892,1.00538,0.000576033,0.000576033,0.000576033
113,298.866,0.71686,0.75347,0.98431,0.68804,0.69133,0.75422,0.59359,0.94864,1.50202,1.03401,0.000573034,0.000573034,0.000573034
114,301.081,0.72865,0.76019,0.96297,0.6449,0.74094,0.75827,0.58908,0.9455,1.5287,1.02465,0.000570034,0.000570034,0.000570034
115,303.143,0.72208,0.76389,0.96902,0.74944,0.70678,0.79574,0.63086,0.88328,1.43159,0.98837,0.000567034,0.000567034,0.000567034
116,306.312,0.7175,0.7413,0.93123,0.72037,0.70658,0.76996,0.58953,0.90468,1.42017,0.99529,0.000564034,0.000564034,0.000564034
117,308.483,0.75551,0.77309,0.98562,0.71401,0.70804,0.77802,0.60984,0.89729,1.4317,1.00169,0.000561035,0.000561035,0.000561035
118,310.826,0.69664,0.74601,0.9654,0.69163,0.72909,0.7845,0.64621,0.83976,1.4388,0.97771,0.000558035,0.000558035,0.000558035
119,312.939,0.71658,0.76649,0.94307,0.70777,0.7054,0.71995,0.57504,0.86875,1.45677,0.97404,0.000555035,0.000555035,0.000555035
120,315.066,0.70332,0.73371,0.96996,0.73674,0.7073,0.78405,0.61534,0.90799,1.46468,0.98114,0.000552036,0.000552036,0.000552036
121,317.215,0.68225,0.73781,0.94767,0.79789,0.69234,0.80587,0.63412,0.91532,1.39161,0.97886,0.000549036,0.000549036,0.000549036
122,320.765,0.69348,0.72223,0.94117,0.82536,0.7151,0.8306,0.65472,0.89479,1.27769,0.97584,0.000546036,0.000546036,0.000546036
123,322.897,0.69687,0.75624,0.95551,0.72096,0.80427,0.8212,0.63798,0.91329,1.28397,0.9863,0.000543037,0.000543037,0.000543037
124,325.221,0.69538,0.85351,0.94596,0.7125,0.78202,0.74363,0.5728,0.91235,1.37222,0.9804,0.000540037,0.000540037,0.000540037
125,327.203,0.72929,0.76746,0.95129,0.70754,0.7637,0.73094,0.57128,0.89085,1.39072,0.97838,0.000537037,0.000537037,0.000537037
126,329.35,0.71748,0.75501,0.9717,0.73813,0.72856,0.72081,0.56253,0.87066,1.3635,0.97643,0.000534037,0.000534037,0.000534037
127,332.038,0.70535,0.71041,0.94112,0.65458,0.80005,0.73008,0.56876,0.91225,1.31819,1.00053,0.000531038,0.000531038,0.000531038
128,335.099,0.71158,0.73309,0.95431,0.67517,0.80305,0.79212,0.63827,0.87853,1.31323,0.99266,0.000528038,0.000528038,0.000528038
129,337.184,0.72083,0.7816,0.96079,0.70891,0.76531,0.72628,0.57936,0.86381,1.34835,0.98825,0.000525038,0.000525038,0.000525038
130,339.169,0.66188,0.76918,0.94358,0.74986,0.70806,0.78612,0.62829,0.87219,1.35236,0.98835,0.000522039,0.000522039,0.000522039
131,341.141,0.68948,0.69821,0.95898,0.78628,0.68577,0.71373,0.58553,0.84632,1.36854,0.98422,0.000519039,0.000519039,0.000519039
